relative_path,top_area,asset_class,lifecycle_status,size_bytes,modified_local,sha256,paper_use,notes
.gitignore,.gitignore,shared_root_asset,RETAINED,215,2026-09-12T11:09:05+08:00,E0C1030D1DC814ED5AC11EF67382C7B4FF08EBF7E242869174910F887F9011DE,CHECK_CONTEXT,共享区根文件
B题/B题.pdf,B题,retained_other_problem,OUT_OF_SCOPE,514825,2026-09-06T20:40:12+08:00,81C992A9BEE5376308C4768B58719B177F17D6EE1F9861577A851924C5A838CA,NO,保留但不作为C题输入
B题/README.md,B题,retained_other_problem,OUT_OF_SCOPE,256,2026-09-12T11:04:16+08:00,AD5D010C3036320BA060C7CF6476ED3D109AFBF30BD0D290BBECF1F02E5A709D,NO,保留但不作为C题输入
C题/C题.pdf,C题,official_c_problem_material,OFFICIAL_READ_ONLY,354389,2026-09-06T20:41:30+08:00,2C098F6AE9DD47AE965AEBDEC3B9FACF3DE6C173F999783C1012C08FC5FB9D2D,SOURCE,题面、附件或官方结果模板
C题/README.md,C题,official_c_problem_material,OFFICIAL_READ_ONLY,1450,2026-09-12T11:05:35+08:00,A54E1F35CC69F745D545795D75F213DBF7EFA3AC389EFF3F44977190304585CE,SOURCE,题面、附件或官方结果模板
C题/附件/附件1.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,16003,2026-08-24T17:34:32+08:00,66B87134F5ECCCD68184D3539BB1293EF039F9E0FDD955A589B9BFA7F227C377,SOURCE,题面、附件或官方结果模板
C题/附件/附件2.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,907128,2026-08-24T17:35:32+08:00,2E95FD446BFAFA0D8C59577B5C2E2EA8B3F1DEF20DDE54A3062556F4DA9B4C72,SOURCE,题面、附件或官方结果模板
C题/附件/附件3.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,293526,2026-08-24T17:07:40+08:00,8A61B06C52BD0D639A1CC37C61A7D9F5B75EDCBCA718F64C1BD3498EC9F9D843,SOURCE,题面、附件或官方结果模板
C题/附件/附件4.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,409790,2026-08-24T17:36:36+08:00,20E9C93AEAB5E8E21AE4DD15587F9E190F7408692504C1319598461CD654FE71,SOURCE,题面、附件或官方结果模板
C题/附件/附件5/result1.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,13323,2026-08-24T18:13:18+08:00,28360E0974E7D6065394A8ABA4E14A86773AE0036CC7D3EA1B211B515B03D688,SOURCE,题面、附件或官方结果模板
C题/附件/附件5/result2.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,18397,2026-08-24T17:37:48+08:00,1C26494CFC6D754E0BD9BFF7E13E1126A73D2D2DA6C5336EB251D89B9A1A1A47,SOURCE,题面、附件或官方结果模板
C题/附件/附件5/result3.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,265429,2026-08-24T17:40:44+08:00,C59DA470CABD0BE23F602C95C8AA9D11EC224A0CDAC216B3E1F218E65D006BDC,SOURCE,题面、附件或官方结果模板
C题/附件/附件5/result4-2.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,18397,2026-08-24T17:37:48+08:00,1C26494CFC6D754E0BD9BFF7E13E1126A73D2D2DA6C5336EB251D89B9A1A1A47,SOURCE,题面、附件或官方结果模板
C题/附件/附件5/result4-3.xlsx,C题,official_c_problem_material,OFFICIAL_READ_ONLY,265429,2026-08-24T17:40:44+08:00,C59DA470CABD0BE23F602C95C8AA9D11EC224A0CDAC216B3E1F218E65D006BDC,SOURCE,题面、附件或官方结果模板
C题题目解读与建模规划.md,C题题目解读与建模规划.md,shared_specification_or_protocol,CURRENT_WITH_HISTORY,22468,2026-09-11T20:31:11+08:00,DCD455398421BE88AA41EF804FCA3397FCF4CD04EA6771F47F643B5FA4A2E072,METHOD_OR_NAVIGATION,共享协议、规划或基线文档
format2026.doc,format2026.doc,official_format_template,OFFICIAL_READ_ONLY,71168,2026-09-08T17:38:32+08:00,D77DE49534649B46CA195D32BD9C56A1FBE06DC96FDCF3E1199E6DD7D9831F4A,TEMPLATE,比赛论文格式模板
README.md,README.md,shared_specification_or_protocol,CURRENT_WITH_HISTORY,5359,2026-09-12T11:09:05+08:00,F15F666F1DE2695037F66C1AA5853A660DE118C2E4FBA1EED380C9F7B48445BA,METHOD_OR_NAVIGATION,共享协议、规划或基线文档
人工操作指南.md,人工操作指南.md,shared_specification_or_protocol,CURRENT_WITH_HISTORY,2880,2026-09-11T19:40:52+08:00,F56A0E0DEF68F564A9C259486E1E714658A5CADF497A32389FFDB43ED523503E,METHOD_OR_NAVIGATION,共享协议、规划或基线文档
协作协议.md,协作协议.md,shared_specification_or_protocol,CURRENT_WITH_HISTORY,1360,2026-09-11T19:40:52+08:00,91E8E4DBAD6AB54C1E5F8C038B2CDECCB0BBAE6DC2D880B7E57A8CBDF7DE525D,METHOD_OR_NAVIGATION,共享协议、规划或基线文档
四问模型完整基线.md,四问模型完整基线.md,shared_specification_or_protocol,CURRENT_WITH_HISTORY,26201,2026-09-11T19:21:51+08:00,3188F7E78C8E21ADD01D9DFB4D92D76CEAECECA64B2A21673F59D6793A68CB96,METHOD_OR_NAVIGATION,共享协议、规划或基线文档
建模/README.md,建模,model_specification,CURRENT_WITH_HISTORICAL_STATUS,2022,2026-09-12T11:01:27+08:00,3624E54423096E6A0561EAF1128F71AACC638828CDDD4505FA2B12DA1A491501,METHOD,模型规格；状态以总导航校正
